iter	Passed	Remaining
0	133	132967
1	133	66788
2	134	44735
3	135	33750
4	136	27141
5	137	22779
6	138	19623
7	139	17252
8	139	15392
9	140	13914
10	141	12705
11	142	11693
12	142	10843
13	143	10129
14	144	9508
15	145	8967
16	146	8484
17	147	8060
18	148	7683
19	150	7354
20	150	7034
21	151	6743
22	152	6475
23	153	6225
24	153	5994
25	154	5782
26	155	5590
27	155	5415
28	156	5244
29	157	5093
30	158	4946
31	159	4810
32	159	4684
33	160	4561
34	161	4449
35	162	4342
36	162	4239
37	163	4140
38	164	4045
39	164	3954
40	165	3870
41	166	3789
42	166	3712
43	167	3642
44	168	3574
45	169	3506
46	169	3442
47	170	3379
48	171	3320
49	171	3264
50	172	3210
51	173	3157
52	174	3110
53	174	3061
54	175	3012
55	175	2965
56	176	2920
57	177	2876
58	177	2834
59	178	2793
60	178	2753
61	179	2716
62	180	2684
63	181	2648
64	181	2613
65	182	2579
66	182	2546
67	183	2514
68	184	2483
69	184	2453
70	185	2424
71	186	2398
72	186	2374
73	187	2350
74	188	2323
75	189	2298
76	189	2273
77	190	2249
78	190	2224
79	191	2202
80	192	2182
81	193	2161
82	193	2137
83	194	2116
84	194	2096
85	195	2075
86	195	2056
87	196	2036
88	197	2018
89	197	1999
90	198	1985
91	199	1967
92	200	1951
93	200	1934
94	201	1917
95	201	1901
96	202	1885
97	203	1869
98	203	1853
99	204	1840
100	205	1828
101	206	1814
102	206	1801
103	207	1787
104	208	1773
105	208	1760
106	209	1747
107	209	1734
108	210	1723
109	211	1711
110	212	1700
111	212	1688
112	213	1676
113	214	1665
114	214	1654
115	215	1642
116	216	1630
117	216	1621
118	217	1612
119	218	1602
120	219	1593
121	219	1582
122	220	1572
123	221	1562
124	221	1552
125	222	1542
126	223	1536
127	224	1527
128	224	1518
129	225	1509
130	226	1500
131	226	1490
132	227	1482
133	228	1473
134	229	1467
135	230	1461
136	230	1453
137	231	1445
138	232	1437
139	232	1429
140	233	1421
141	233	1412
142	234	1405
143	235	1398
144	236	1392
145	236	1385
146	237	1378
147	238	1370
148	238	1363
149	239	1356
150	239	1348
151	240	1341
152	241	1335
153	242	1329
154	242	1323
155	243	1316
156	244	1310
157	244	1304
158	245	1298
159	246	1291
160	246	1284
161	247	1278
162	247	1273
163	248	1268
164	249	1262
165	250	1256
166	250	1251
167	251	1245
168	252	1239
169	252	1233
170	253	1227
171	254	1224
172	255	1219
173	256	1215
174	256	1210
175	257	1204
176	257	1199
177	258	1193
178	259	1188
179	260	1184
180	260	1180
181	261	1175
182	262	1170
183	262	1166
184	263	1161
185	264	1156
186	264	1151
187	265	1146
188	266	1143
189	267	1139
190	267	1134
191	268	1130
192	269	1125
193	269	1121
194	270	1116
195	271	1111
196	271	1108
197	272	1104
198	273	1100
199	274	1096
200	274	1092
201	275	1088
202	276	1083
203	276	1079
204	277	1075
205	278	1072
206	279	1068
207	279	1065
208	280	1061
209	281	1057
210	281	1053
211	282	1049
212	283	1045
213	283	1042
214	284	1039
215	285	1036
216	286	1032
217	286	1028
218	287	1025
219	288	1021
220	288	1017
221	289	1013
222	290	1011
223	291	1008
224	291	1004
225	292	1001
226	293	998
227	293	994
228	294	991
229	295	987
230	295	984
231	296	982
232	297	979
233	298	976
234	298	973
235	299	970
236	300	966
237	300	963
238	301	959
239	302	957
240	303	954
241	303	951
242	304	948
243	305	945
244	305	942
245	306	939
246	307	936
247	307	933
248	308	931
249	309	928
250	310	925
251	310	923
252	311	920
253	312	917
254	313	914
255	313	911
256	314	909
257	315	907
258	316	904
259	316	901
260	317	898
261	318	896
262	318	893
263	319	890
264	319	887
265	320	885
266	321	883
267	322	880
268	323	878
269	323	875
270	324	872
271	325	870
272	325	867
273	326	866
274	327	864
275	328	861
276	329	859
277	329	856
278	330	854
279	331	851
280	331	848
281	332	846
282	333	844
283	334	842
284	334	839
285	335	837
286	336	834
287	336	832
288	337	829
289	337	827
290	338	825
291	339	823
292	340	821
293	341	819
294	341	816
295	342	814
296	343	812
297	343	809
298	344	807
299	345	805
300	345	803
301	346	801
302	347	798
303	348	796
304	348	794
305	349	791
306	349	789
307	350	787
308	351	786
309	352	783
310	352	781
311	353	779
312	354	777
313	354	774
314	355	772
315	355	770
316	356	768
317	357	766
318	358	764
319	358	762
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	362	750
326	363	748
327	364	747
328	365	745
329	366	743
330	366	741
331	367	738
332	367	736
333	368	734
334	369	733
335	370	731
336	370	729
337	371	727
338	372	725
339	372	723
340	373	721
341	374	719
342	374	717
343	375	716
344	376	714
345	377	712
346	377	711
347	378	709
348	379	707
349	379	705
350	380	703
351	381	702
352	382	700
353	382	698
354	383	697
355	384	695
356	385	693
357	385	691
358	386	689
359	387	688
360	388	686
361	388	685
362	389	683
363	390	681
364	390	680
365	391	678
366	392	676
367	392	674
368	393	673
369	394	671
370	395	670
371	395	668
372	396	666
373	397	664
374	397	663
375	398	661
376	399	659
377	400	658
378	400	656
379	401	655
380	402	653
381	402	651
382	403	650
383	404	648
384	404	646
385	405	645
386	406	643
387	407	642
388	407	640
389	408	639
390	409	637
391	410	636
392	410	634
393	411	632
394	412	631
395	412	629
396	413	628
397	414	626
398	415	625
399	415	623
400	416	621
401	416	620
402	417	618
403	418	617
404	419	616
405	420	614
406	421	613
407	421	611
408	422	610
409	423	608
410	424	607
411	425	606
412	425	605
413	426	603
414	427	602
415	427	600
416	428	599
417	429	597
418	429	596
419	430	594
420	431	593
421	432	591
422	432	590
423	433	589
424	434	587
425	434	586
426	435	584
427	436	583
428	437	582
429	438	580
430	438	579
431	439	577
432	440	576
433	440	574
434	441	573
435	441	571
436	442	570
437	443	568
438	444	567
439	444	566
440	445	564
441	446	563
442	446	561
443	447	560
444	448	559
445	449	558
446	450	557
447	450	555
448	451	554
449	452	552
450	452	551
451	453	549
452	454	548
453	454	546
454	455	545
455	456	544
456	457	543
457	457	541
458	458	540
459	459	538
460	459	537
461	460	536
462	461	535
463	462	534
464	463	532
465	463	531
466	464	529
467	464	528
468	465	527
469	466	526
470	467	525
471	468	523
472	468	522
473	469	520
474	470	519
475	470	518
476	471	516
477	471	515
478	473	514
479	473	513
480	474	512
481	475	510
482	476	509
483	476	508
484	477	506
485	477	505
486	478	504
487	479	503
488	480	501
489	480	500
490	481	499
491	482	498
492	483	496
493	483	495
494	484	494
495	485	493
496	486	492
497	487	490
498	487	489
499	488	488
500	488	487
501	489	485
502	490	484
503	491	483
504	491	482
505	492	480
506	493	479
507	493	478
508	494	476
509	495	475
510	495	474
511	496	472
512	497	471
513	497	470
514	498	469
515	499	468
516	499	467
517	500	465
518	501	464
519	501	463
520	502	462
521	503	461
522	504	460
523	505	458
524	505	457
525	506	456
526	506	455
527	507	453
528	508	452
529	509	451
530	509	450
531	510	449
532	511	447
533	511	446
534	512	445
535	513	444
536	513	442
537	514	441
538	515	440
539	515	439
540	516	438
541	517	437
542	517	435
543	518	434
544	519	433
545	519	432
546	520	430
547	521	429
548	521	428
549	522	427
550	523	426
551	523	425
552	524	424
553	525	422
554	525	421
555	526	420
556	527	419
557	528	418
558	529	417
559	529	416
560	530	415
561	531	413
562	531	412
563	532	411
564	533	410
565	533	409
566	534	408
567	535	407
568	536	406
569	536	404
570	537	403
571	538	402
572	538	401
573	539	400
574	540	399
575	541	398
576	542	397
577	542	396
578	543	395
579	544	394
580	544	392
581	545	391
582	546	390
583	547	389
584	547	388
585	548	387
586	549	386
587	549	385
588	550	383
589	551	382
590	551	381
591	552	380
592	553	379
593	554	378
594	554	377
595	555	376
596	555	375
597	556	374
598	557	373
599	558	372
600	558	371
601	559	369
602	560	368
603	560	367
604	561	366
605	562	365
606	562	364
607	563	363
608	564	362
609	565	361
610	565	360
611	566	359
612	567	358
613	567	356
614	568	355
615	569	354
616	569	353
617	570	352
618	571	351
619	572	350
620	573	349
621	574	348
622	574	347
623	575	346
624	576	345
625	577	344
626	578	343
627	578	342
628	579	341
629	580	340
630	580	339
631	581	338
632	582	337
633	583	336
634	583	335
635	584	334
636	585	333
637	585	332
638	586	331
639	586	330
640	587	329
641	588	328
642	589	327
643	589	326
644	590	325
645	591	324
646	591	322
647	592	321
648	593	320
649	594	319
650	595	319
651	595	318
652	596	316
653	597	315
654	597	314
655	598	313
656	599	312
657	600	311
658	600	310
659	601	309
660	602	308
661	602	307
662	603	306
663	604	305
664	604	304
665	605	303
666	606	302
667	607	301
668	608	300
669	608	299
670	609	298
671	610	297
672	610	296
673	611	295
674	611	294
675	612	293
676	613	292
677	614	291
678	615	290
679	615	289
680	616	288
681	616	287
682	617	286
683	618	285
684	619	284
685	620	283
686	620	282
687	621	281
688	622	280
689	622	279
690	623	278
691	624	277
692	625	276
693	625	275
694	626	274
695	627	273
696	627	272
697	628	271
698	629	270
699	629	269
700	630	269
701	631	268
702	632	267
703	632	266
704	633	265
705	634	264
706	634	263
707	635	262
708	635	261
709	637	260
710	637	259
711	638	258
712	639	257
713	639	256
714	640	255
715	641	254
716	641	253
717	642	252
718	643	251
719	644	250
720	645	249
721	645	248
722	646	247
723	647	246
724	648	245
725	649	244
726	650	244
727	650	243
728	651	242
729	652	241
730	653	240
731	654	239
732	655	238
733	656	237
734	657	236
735	657	236
736	658	235
737	659	234
738	660	233
739	661	232
740	662	231
741	663	230
742	664	229
743	665	228
744	665	227
745	667	227
746	668	226
747	668	225
748	669	224
749	670	223
750	671	222
751	671	221
752	672	220
753	673	219
754	674	218
755	675	217
756	675	216
757	676	215
758	677	214
759	677	214
760	678	213
761	679	212
762	680	211
763	680	210
764	681	209
765	682	208
766	682	207
767	683	206
768	684	205
769	684	204
770	685	203
771	686	202
772	687	201
773	688	200
774	688	199
775	689	199
776	690	198
777	690	197
778	691	196
779	692	195
780	693	194
781	693	193
782	694	192
783	695	191
784	695	190
785	696	189
786	697	188
787	698	187
788	698	186
789	699	185
790	700	184
791	700	184
792	701	183
793	701	182
794	702	181
795	703	180
796	704	179
797	705	178
798	705	177
799	706	176
800	707	175
801	707	174
802	708	173
803	709	172
804	709	171
805	710	171
806	711	170
807	712	169
808	712	168
809	713	167
810	713	166
811	714	165
812	715	164
813	716	163
814	717	162
815	717	161
816	718	160
817	719	159
818	719	159
819	720	158
820	720	157
821	722	156
822	722	155
823	723	154
824	724	153
825	724	152
826	725	151
827	726	150
828	726	149
829	727	149
830	728	148
831	729	147
832	729	146
833	730	145
834	730	144
835	731	143
836	732	142
837	732	141
838	733	140
839	734	139
840	735	138
841	735	138
842	736	137
843	737	136
844	737	135
845	738	134
846	738	133
847	739	132
848	740	131
849	741	130
850	742	129
851	742	129
852	743	128
853	744	127
854	744	126
855	746	125
856	747	124
857	747	123
858	748	122
859	748	121
860	749	121
861	750	120
862	750	119
863	751	118
864	752	117
865	753	116
866	754	115
867	754	114
868	755	113
869	756	112
870	756	112
871	757	111
872	758	110
873	758	109
874	759	108
875	760	107
876	761	106
877	761	105
878	762	104
879	763	104
880	764	103
881	765	102
882	766	101
883	766	100
884	767	99
885	768	98
886	768	97
887	769	97
888	770	96
889	771	95
890	771	94
891	772	93
892	773	92
893	773	91
894	774	90
895	775	89
896	775	89
897	776	88
898	777	87
899	778	86
900	779	85
901	779	84
902	780	83
903	781	82
904	781	82
905	782	81
906	783	80
907	784	79
908	785	78
909	785	77
910	786	76
911	787	75
912	788	75
913	789	74
914	789	73
915	790	72
916	791	71
917	792	70
918	792	69
919	793	68
920	793	68
